update_datetime;eta;etd;detdeta;name;company;terminal;status;arriving_from;nationality;vessel_type;purpose;call_no;length;width;brt;signal;imo;quay;group;cargo
2020-10-28 19:41:30.0620000;27-10-2020 14:00;28-10-2020 17:00;97200;Longviking;SDK Shipping A/S;Amagerværket;Departed;Skulte;Nederländerna;General Cargo Ship;Discharging only;306034;114,4;14,5;4255;PBNO;9547324;c835;AD;WC
2020-10-28 03:41:29.4620000;27-10-2020 20:30;28-10-2020 11:00;52200;Marfaam;SDK Shipping A/S;Amagerværket;Arrived;Liepaja;Nederländerna;General Cargo Ship;Discharging only;306079;118,14;16,13;5422;PCNH;9526100;c835;A;WC
2020-10-29 19:41:29.7930000;28-10-2020 17:45;29-10-2020 14:00;72900;Harun;SDK Shipping A/S;Amagerværket;Departed;Riga;Cypern;General Cargo Ship;Discharging only;306077;110,78;14;3990;5BEN5;9361380;c835;AD;WC
2020-10-30 19:41:29.1770000;29-10-2020 15:00;30-10-2020 19:30;102600;Danita;SDK Shipping A/S;Amagerværket;Departed;Rostock;Portugal (MAR);General Cargo Ship;Discharging only;306085;115,46;16,5;5232;CQAC9;9341108;c835;AD;WC
2020-10-30 19:41:29.1770000;30-10-2020 02:20;30-10-2020 17:00;52800;Feed Stavanger;SDK Shipping A/S;Amagerværket;Departed;Bandholm (Maribo);Antigua & Barbuda;General cargo More decks;Discharging only;306093;90,55;13,6;2863;V2PU6;9155951;c835;AD;WC
2020-10-30 19:41:29.1770000;30-10-2020 17:00;02-11-2020 17:00;259200;Eeborg;SDK Shipping A/S;Amagerværket;Arrived;Gent;Nederländerna;General Cargo Ship;Discharging only;306094;144,56;15,87;7680;PCNL;9568328;c836;A;WC
2020-11-01 03:41:29.5680000;31-10-2020 01:30;02-11-2020 11:00;207000;Alexander;Schultz Shipping A/S;Amagerværket;Departed;Greifswald, Landkreis;Antigua & Barbuda;General Cargo Ship;Discharging only;306081;103,97;15,35;3833;V2GX8;9490179;c835;AD;WC
2020-11-03 19:41:47.5600000;02-11-2020 01:00;03-11-2020 13:30;131400;Kethi;SDK Shipping A/S;Amagerværket;Departed;Ventspils;Malta;General Cargo Ship;Discharging only;306106;118,55;15,2;4996;9HA5167;9263552;c835;AD;WC
2020-11-03 03:41:30.1140000;02-11-2020 21:00;03-11-2020 21:10;87000;Feed Stavanger;SDK Shipping A/S;Amagerværket;Arrived;Bandholm (Maribo);Antigua & Barbuda;General cargo More decks;Discharging only;306128;90,55;13,6;2863;V2PU6;9155951;c835;A;WC
2020-11-03 19:41:47.5600000;03-11-2020 19:00;05-11-2020 18:30;171000;Marfaam;SDK Shipping A/S;Amagerværket;Arrived;Liepaja;Nederländerna;General Cargo Ship;Discharging only;306127;118,14;16,13;5422;PCNH;9526100;c835;A;WC
2020-11-04 11:41:52.5590000;04-11-2020 05:00;06-11-2020 11:00;194400;Alexander;Schultz Shipping A/S;Amagerværket;Arrived;Greifswald, Landkreis;Antigua & Barbuda;General Cargo Ship;Discharging only;306177;103,97;15,35;3833;V2GX8;9490179;c835;A;WC
2020-11-05 19:41:26.4210000;05-11-2020 12:30;06-11-2020 19:00;109800;Danita;SDK Shipping A/S;Amagerværket;Arrived;Wismar;Portugal (MAR);General Cargo Ship;Discharging only;306164;115,46;16,5;5232;CQAC9;9341108;c835;A;WC
2020-11-06 19:41:28.2460000;06-11-2020 13:10;08-11-2020 17:00;186600;Longviking;SDK Shipping A/S;Amagerværket;Arrived;Liepaja;Nederländerna;General Cargo Ship;Discharging only;306167;114,4;14,5;4255;PBNO;9547324;c835;A;WC
2020-11-12 07:47:43.8580000;08-11-2020 05:30;09-11-2020 21:00;142200;Spirit;SDK Shipping A/S;Amagerværket;Departed;Rostock;Nederländerna;General Cargo Ship;Discharging only;306184;111,75;14,95;4503;PFCF;9229049;c835;AD;WC
2020-11-10 19:34:42.6590000;09-11-2020 16:00;10-11-2020 15:30;84600;Grosse Freiheit;SDK Shipping A/S;Amagerværket;Departed;Larvik;Portugal (MAR);General Cargo Ship;Discharging only;306185;106,66;15,2;4102;CQEA5;9507142;c835;AD;WC
2020-11-11 19:34:43.2160000;10-11-2020 10:00;11-11-2020 19:00;118800;Marfaam;SDK Shipping A/S;Amagerværket;Departed;Liepaja;Nederländerna;General Cargo Ship;Discharging only;306251;118,14;16,13;5422;PCNH;9526100;c835;AD;WC
2020-11-11 19:34:43.2160000;11-11-2020 12:00;13-11-2020 11:01;169260;Kwintebank;SDK Shipping A/S;Amagerværket;Arrived;Riga;Nederländerna;General Cargo Ship;Discharging only;306256;132,23;15,87;6378;PBGT;9234288;c835;A;WC
2020-11-12 19:34:52.5720000;12-11-2020 17:00;13-11-2020 17:00;86400;Danita;SDK Shipping A/S;Amagerværket;Arrived;Lübeck;Portugal (MAR);General Cargo Ship;Discharging only;306270;115,46;16,5;5232;CQAC9;9341108;c835;EA;
2020-11-14 11:34:43.8820000;13-11-2020 12:00;14-11-2020 06:30;66600;Adriata;SDK Shipping A/S;Amagerværket;Departed;Lübeck;Portugal (MAR);General Cargo Ship;Discharging only;306273;104,4;16,2;4071;CQEP;9005376;c835;EAD;
2020-11-15 19:34:35.7030000;14-11-2020 20:00;15-11-2020 13:00;61200;Spirit;SDK Shipping A/S;Amagerværket;Departed;Rohukuela;Nederländerna;General Cargo Ship;Discharging only;306288;111,75;14,95;4503;PFCF;9229049;c835;EAD;
2020-11-16 19:34:36.4450000;15-11-2020 04:00;16-11-2020 12:30;117000;Marfaam;SDK Shipping A/S;Amagerværket;Departed;Eydehavn;Nederländerna;General Cargo Ship;Discharging only;306287;118,14;16,13;5422;PCNH;9526100;c835;EAD;
2020-11-15 19:34:35.7030000;15-11-2020 19:30;16-11-2020 18:40;83400;Celina;Schultz Shipping A/S;Amagerværket;Arrived;Szczecin;Antigua & Barbuda;General Cargo Ship;Discharging only;306189;104,4;16,38;4073;V2GV5;9019200;c838;EA;
2020-11-17 11:34:37.1440000;16-11-2020 07:30;17-11-2020 10:30;97200;Belterwiede;SDK Shipping A/S;Amagerværket;Departed;Mandal;Nederländerna;General Cargo Ship;Discharging only;306313;110,78;14;3990;PHCM;9313797;c835;EAD;
2020-11-19 03:34:37.7570000;18-11-2020 05:00;18-11-2020 21:30;59400;Grosse Freiheit;SDK Shipping A/S;Amagerværket;Departed;Lübeck;Portugal (MAR);General Cargo Ship;Discharging only;306338;106,66;15,2;4102;CQEA5;9507142;c836;EAD;
2020-11-20 11:34:35.9370000;19-11-2020 00:00;20-11-2020 08:00;115200;Belterwiede;SDK Shipping A/S;Amagerværket;Departed;Grenå;Nederländerna;General Cargo Ship;Discharging only;306374;110,78;14;3990;PHCM;9313797;c836;EAD;
2020-11-22 19:34:36.9310000;21-11-2020 09:00;22-11-2020 12:00;97200;Maxi;SDK Shipping A/S;Amagerværket;Departed;Lübeck;Antigua & Barbuda;General Cargo Ship;Discharging only;306355;111,75;14,95;4503;V2GW7;9180865;c836;EAD;
2020-11-21 19:34:37.6810000;21-11-2020 15:30;22-11-2020 05:00;48600;Frisiana;SDK Shipping A/S;Amagerværket;Arrived;Bremen-Farge;Nederländerna;General Cargo Ship;Discharging only;306375;128,38;15,87;5905;PCEQ;9385893;c835;EA;
2020-11-23 19:34:36.7650000;23-11-2020 13:30;01-12-2020 11:30;684000;Nord Biscay;SDK Shipping A/S;Amagerværket;Arrived;Santana;Singapore;Bulk;Discharging only;306341;199,98;32,26;35332;9V5922;9799795;c835;EA;
